feature;cluster;corr;abs_corr
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-The services provided by the company (cr�che, concierge, gym, etc.)_Unsatisfactory',);12;0.059;0.059
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a social protection (mutual health, insurance) offered by your company_Unsatisfactory',);12;0.029;0.029
('Q15- Indicate whether each of the following sentences suits you-I am satisfied with my work_Rather not',);13;0.067;0.067
('Q15- Indicate whether each of the following sentences suits you-I have the opportunity to develop my professional skills_Rather not',);13;0.057;0.057
('Q16- And for each of these sentences?-I would recommend my company to a friend_Rather not',);13;0.052;0.052
('Q15- Indicate whether each of the following sentences suits you-My company takes care of the well-being of its employees_Rather not',);13;0.051;0.051
('Q16- And for each of these sentences?-I am proud to work in my company_Rather not',);13;0.05;0.05
('Q15- Indicate whether each of the following sentences suits you-I feel recognized by my hierarchy_Rather not',);13;0.047;0.047
('Q15- Indicate whether each of the following sentences suits you-In the event of a problem, I can count on my supervisor_Rather not',);13;0.047;0.047
('Q15- Indicate whether each of the following sentences suits you-My work allows me to learn new things_Rather not',);13;0.045;0.045
('Q15- Indicate whether each of the following sentences suits you-In my job I have the opportunity to make decisions_Rather not',);13;0.041;0.041
('Q15- Indicate whether each of the following sentences suits you-Security is a priority for my business_Rather not',);13;0.028;0.028
('Q15- Indicate whether each of the following sentences suits you-I systematically seek to improve the way I work_Rather not',);13;0.007;0.007
('Q13- Is the performance of your work taxing on you?-To perform repetitive gestures_Never',);14;-0.072;0.072
('Q13- Is the performance of your work taxing on you?-To work in noise_Never',);14;-0.07;0.07
('Q13- Is the performance of your work taxing on you?-To carry or move heavy loads_Never',);14;-0.065;0.065
('Q13- Is the performance of your work taxing on you?-To remain standing for a long time or in an awkward posture_Never',);14;-0.061;0.061
('Q13- Is the performance of your work taxing on you?-Working in the cold / in the heat_Never',);14;-0.061;0.061
('Q15- Indicate whether each of the following sentences suits you-My job is physically tiring_Not at all',);14;-0.046;0.046
('Q14- During your work, are you in a situation? (Of-working on machinery that could expose you to injury_No',);15;-0.091;0.091
('Q14- During your work, are you in a situation? (Of-breathe toxic products or dust_No',);15;-0.08;0.08
('Q14- During your work, are you in a situation? (Of-risk a serious fall_No',);15;-0.067;0.067
('Q14- During your work, are you in a situation? (Of-handle toxic or dangerous products_No',);15;-0.063;0.063
('STATUS_Frames',);16;-0.076;0.076
('Q10- Do you have shift work (work organized in successive teams, which take turns at the same workstations) with alternating hours?_No',);16;-0.071;0.071
('Q15- Indicate whether each of the following sentences suits you-My job is physically tiring_Rather not',);16;-0.057;0.057
('Q13- Is the performance of your work taxing on you?-To work on screen_Most of the time',);16;-0.05;0.05
('Q12- Do you work most often?_In an office alone or in pairs',);16;-0.049;0.049
('In which sector of activity do you work?_Design office and engineering',);16;-0.027;0.027
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-recognition at work_Satisfying',);17;-0.117;0.117
"(""Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-'work organization_Satisfying"",)";17;-0.109;0.109
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a relationship with your direct superior_Satisfying',);17;-0.107;0.107
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-the prospects for development_Satisfying',);17;-0.105;0.105
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-relationships between services_Satisfying',);17;-0.105;0.105
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-e management_Satisfying',);17;-0.103;0.103
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a communication and understanding of business strategy_Satisfying',);17;-0.097;0.097
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-moments of conviviality_Satisfying',);17;-0.089;0.089
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-atmosphere in your team_Satisfying',);17;-0.087;0.087
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-clarity of your role in the company�s activity_Satisfying',);17;-0.085;0.085
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-tools or your workstation_Satisfying',);17;-0.083;0.083
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-access to professional training_Satisfying',);17;-0.07;0.07
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a balance between private life and professional life_Satisfying',);17;-0.07;0.07
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-has mastery of your position (responsibility, means, skills_Satisfying',);17;-0.069;0.069
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-working hours_Satisfying',);17;-0.067;0.067
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-The services provided by the company (cr�che, concierge, gym, etc.)_Satisfying',);17;-0.066;0.066
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a social protection (mutual health, insurance) offered by your company_Satisfying',);17;-0.029;0.029
('Q15- Indicate whether each of the following sentences suits you-My job requires long periods of concentration_Rather',);18;-0.03;0.03
('Q15- Indicate whether each of the following sentences suits you-My job requires working very quickly or very intensely_Rather',);18;-0.016;0.016
('Q15- Indicate whether each of the following sentences suits you-My work is nervously tiring_Rather',);18;-0.009;0.009
('Q15- Indicate whether each of the following sentences suits you-At times, I have difficulty managing priorities_Rather',);18;0.008;0.008
('Q15- Indicate whether each of the following sentences suits you-My company takes care of the well-being of its employees_Rather',);19;-0.081;0.081
('Q15- Indicate whether each of the following sentences suits you-I feel recognized by my hierarchy_Rather',);19;-0.076;0.076
('Q15- Indicate whether each of the following sentences suits you-I have the opportunity to develop my professional skills_Rather',);19;-0.065;0.065
('Q15- Indicate whether each of the following sentences suits you-I have a well-suited workstation_Rather',);19;-0.065;0.065
('Q16- And for each of these sentences?-I would recommend my company to a friend_Rather',);19;-0.059;0.059
('Q15- Indicate whether each of the following sentences suits you-I am satisfied with my work_Rather',);19;-0.052;0.052
('Q15- Indicate whether each of the following sentences suits you-In the event of a problem, I can count on my supervisor_Rather',);19;-0.051;0.051
('Q15- Indicate whether each of the following sentences suits you-My work allows me to learn new things_Rather',);19;-0.043;0.043
('Q15- Indicate whether each of the following sentences suits you-In my job I have the opportunity to make decisions_Rather',);19;-0.039;0.039
('Q16- And for each of these sentences?-I am proud to work in my company_Rather',);19;-0.038;0.038
('Q15- Indicate whether each of the following sentences suits you-There is good understanding where I work_Rather',);19;-0.036;0.036
('Q15- Indicate whether each of the following sentences suits you-Security is a priority for my business_Rather',);19;-0.032;0.032
('Q15- Indicate whether each of the following sentences suits you-I systematically seek to improve the way I work_Rather',);19;-0.006;0.006
('Q31- When you think about the next 3 years, for each of the following points are you:-The financial situation of your household_Confident',);20;-0.059;0.059
('Q31- When you think about the next 3 years, for each of the following points are you:-Your professional situation_Confident',);20;-0.056;0.056
('Q31- When you think about the next 3 years, for each of the following points are you:-The future of your child(ren)_Confident',);20;-0.052;0.052
('Q31- When you think about the next 3 years, for each of the following points are you:-Your emotional life_Confident',);20;-0.02;0.02
('Q34- In your personal life, would you say:-I feel well surrounded_Rather',);20;-0.016;0.016
('Q31- When you think about the next 3 years, for each of the following points are you:-Your housing conditions_Confident',);20;-0.01;0.01
('Q34- In your personal life, would you say:-If there is a problem I can talk to a loved one_Rather',);20;-0.005;0.005
('Q17- At work, does it happen to you: (D-e receiving hurtful or aggressive remarks within the company_Never',);21;-0.094;0.094
('Q15- Indicate whether each of the following sentences suits you-My work is nervously tiring_Rather not',);21;-0.066;0.066
('Q17- At work, does it happen to you: (D-being insulted or attacked by the public or customers_Never',);21;-0.045;0.045
('Q15- Indicate whether each of the following sentences suits you-My job requires working very quickly or very intensely_Rather not',);21;-0.043;0.043
('Q5- Apart from your children, do you have a dependent or sick family member(s) whom you take care of regularly?_No',);21;-0.022;0.022
('Q15- Indicate whether each of the following sentences suits you-My job requires long periods of concentration_Rather not',);21;0.007;0.007
('Q38- Did you:-A chronic illness (a long-term illness or one that recurs frequently_No',);22;-0.197;0.197
('Q38- Did you:-Disabilities_No',);22;-0.141;0.141
('Q62- Do you take sleeping pills, anxiolytics or anti-depressants:_Never',);22;-0.136;0.136
('Q37- How do you rate your state of health in general?_Good',);22;-0.132;0.132
('Q31- When you think about the next 3 years, for each of the following points are you:-Your health_Confident',);22;-0.089;0.089
('Q63- Over the past 12 months have you experienced the following difficulties?-A lack of tone_sometimes',);23;-0.059;0.059
('Q34- In your personal life, would you say:-I have personal concerns (emotional life, money, health_Rather not',);23;-0.05;0.05
('Q63- Over the past 12 months have you experienced the following difficulties?-Sleep disorders (difficulty falling asleep, waking up at night, waking up early without being able to go back to sleep, etc.)_sometimes',);23;-0.043;0.043
('Q15- Indicate whether each of the following sentences suits you-At times, I have difficulty managing priorities_Rather not',);23;-0.018;0.018
('Q23- Do you have difficulty reconciling your work with your other personal or family commitments?-Yes quite_No, rather not',);23;0.01;0.01
('Q17- At work, does it happen to you: (D-have decreased alertness, lack of attention_Sometimes',);23;0.008;0.008
('Q34- In your personal life, would you say:-One of my loved ones (child/parent/spouse) is causing me a lot of worry_Rather not',);23;0.001;0.001
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-An imposed change of position or profession_I understand they are necessary',);24;-0.129;0.129
('Q23- Do you have difficulty reconciling your work with your other personal or family commitments?-Yes quite_TOTAL YES',);24;-0.116;0.116
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A social plan, layoffs in your company_I understand they are necessary',);24;-0.083;0.083
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A restructuring or reorganization of your service or business_I understand they are necessary',);24;-0.081;0.081
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-One or more periods of technical unemployment_I understand they are necessary',);24;-0.068;0.068
('What is the size of your business (in total, all locations combined)? 2009 fake_5000 employees and more',);24;-0.065;0.065
('What is the size of your business (in total, all locations combined)? 2009 fake_1000 to 4999 employees',);24;-0.058;0.058
('In which sector of activity do you work?_Wholesale trade (all businesses in 206)',);24;-0.028;0.028
('Q17- At work, does it happen to you: (D-have decreased alertness, lack of attention_Never',);25;-0.074;0.074
('Q15- Indicate whether each of the following sentences suits you-My work is nervously tiring_Not at all',);25;-0.04;0.04
('Q15- Indicate whether each of the following sentences suits you-My job requires working very quickly or very intensely_Not at all',);25;-0.023;0.023
('Q23- Do you have difficulty reconciling your work with your other personal or family commitments?-Yes quite_No not at all',);25;-0.017;0.017
('Q15- Indicate whether each of the following sentences suits you-My job requires long periods of concentration_Not at all',);25;0.004;0.004
('Q15- Indicate whether each of the following sentences suits you-At times, I have difficulty managing priorities_Not at all',);25;0.001;0.001
('What is the size of your business (in total, all locations combined)? 2009 fake_Less than 10 employees',);26;-0.061;0.061
('Q1- Your sex?_A woman',);26;0.054;0.054
('Q12- Do you work most often?_At home teleworking',);26;-0.048;0.048
('In which sector of activity do you work?_Services',);26;-0.015;0.015
('STATUS_Employees',);26;-0.007;0.007
('Q9- Are you working?_Part time',);26;-0.002;0.002
('Q13- Is the performance of your work taxing on you?-To carry or move heavy loads_Occasionally',);27;0.016;0.016
('Q13- Is the performance of your work taxing on you?-Working in the cold / in the heat_Occasionally',);27;0.01;0.01
('Q13- Is the performance of your work taxing on you?-To work in noise_Occasionally',);27;-0.009;0.009
('Q13- Is the performance of your work taxing on you?-To perform repetitive gestures_Occasionally',);27;-0.006;0.006
('Q15- Indicate whether each of the following sentences suits you-My job is physically tiring_Rather',);27;0.005;0.005
('Q13- Is the performance of your work taxing on you?-To remain standing for a long time or in an awkward posture_Occasionally',);27;0.001;0.001
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the back_Sometimes',);28;-0.097;0.097
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in other parts of the body_Sometimes',);28;0.053;0.053
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the neck, shoulder, arm_Sometimes',);28;-0.043;0.043
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the head_Sometimes',);28;-0.037;0.037
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-to the eyes_Sometimes',);28;0.02;0.02
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the leg, foot, knee_Sometimes',);28;-0.005;0.005
('Q58- For each of these drinks, indicate whether you consume them:-Every day_nan',);29;0.005;0.005
"(""Would you say that over the last 12 months, your company's activity has:_nan"",)";29;-0.003;0.003
('Q58- For each of these drinks, indicate whether you consume them:-At least once a week_nan',);29;0.003;0.003
('Would you say that over the last 12 months, your pace of work has:_Slow motion',);30;0.061;0.061
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-One or more periods of technical unemployment_I make sure to adapt',);30;0.05;0.05
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A social plan, layoffs in your company_I make sure to adapt',);30;0.046;0.046
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-An imposed change of position or profession_I benefit from support in implementation (training, communication, etc.)',);30;0.039;0.039
"(""Would you say that over the last 12 months, your company's activity has:_Slow down"",)";30;0.037;0.037
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A restructuring or reorganization of your service or business_I adhere to the directions chosen by my company',);30;0.027;0.027
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-Loss of job (yourself or your spouse)_I adhere to the directions chosen by my company',);30;0.02;0.02
('Q10- Do you have shift work (work organized in successive teams, which take turns at the same workstations) with alternating hours?_Yes',);31;0.071;0.071
('What is the size of your business (in total, all locations combined)? 2009 fake_50 to 249 employees',);31;0.051;0.051
('Q60- Are you a smoker?_Yes',);31;0.051;0.051
('Q58- For each of these drinks, indicate whether you consume them:-Every day_Sodas',);31;0.033;0.033
('Q62- Do you take sleeping pills, anxiolytics or anti-depressants:_Once a month',);31;0.02;0.02
('Q5- Apart from your children, do you have a dependent or sick family member(s) whom you take care of regularly?_Yes, who lives with me',);31;-0.014;0.014
('Q58- For each of these drinks, indicate whether you consume them:-At least once a week_Sodas',);31;0.01;0.01
('Q61- Do you smoke cannabis, hashish, marijuana?_Every day or almost',);31;0.009;0.009
('Q13- Is the performance of your work taxing on you?-To work on screen_Occasionally',);31;0.004;0.004
('Q61- Do you smoke cannabis, hashish, marijuana?_Once a month',);31;0.002;0.002
('Q14- During your work, are you in a situation? (Of-handle toxic or dangerous products_None',);32;0.005;0.005
('Q23- Do you have difficulty reconciling your work with your other personal or family commitments?-Yes quite_None',);32;0.005;0.005
('Q13- Is the performance of your work taxing on you?-To work in noise_None',);32;0.002;0.002
Q4- (7 to 12 years old) In each of the following age groups, how many children live totally or partially with you?;33;-0.034;0.034
Q4- (3 to 6 years old) In each of the following age groups, how many children live totally or partially with you?;33;-0.01;0.01
('Q2- How old are you?_30 - 39',);33;0.007;0.007
('Q42-During the last 12 months have you had a work accident?_Yes',);34;0.21;0.21
('Q1- Your sex?_A man',);34;-0.054;0.054
('Q62- Do you take sleeping pills, anxiolytics or anti-depressants:_Less than once a month',);34;0.048;0.048
('Q62- Do you take sleeping pills, anxiolytics or anti-depressants:_Several times a month',);34;0.047;0.047
('Q58- For each of these drinks, indicate whether you consume them:-At least once a week_Alcoholic beverages',);34;-0.045;0.045
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-Loss of job (yourself or your spouse)_I am involved upstream, we integrate my point of view',);34;-0.04;0.04
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-the prospects for development_None',);34;0.037;0.037
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a communication and understanding of business strategy_None',);34;0.037;0.037
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-Loss of job (yourself or your spouse)_I benefit from support in implementation (training, communication, etc.)',);34;-0.036;0.036
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-One or more periods of technical unemployment_They come back too often',);34;-0.035;0.035
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-recognition at work_None',);34;0.028;0.028
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-e management_None',);34;0.026;0.026
('Q34- In your personal life, would you say:-I have personal concerns (emotional life, money, health_None',);34;-0.026;0.026
('Q12- Do you work most often?_None',);34;-0.024;0.024
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-access to professional training_None',);34;0.023;0.023
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-relationships between services_None',);34;0.022;0.022
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-The services provided by the company (cr�che, concierge, gym, etc.)_None',);34;0.022;0.022
('Q58- For each of these drinks, indicate whether you consume them:-Every day_Alcoholic beverages',);34;0.02;0.02
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-An imposed change of position or profession_They come back too often',);34;0.019;0.019
